2022-01-13 10:16:36,296 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: init:init-resume:1.0.0 @ C:\Users\USER\Documents\아카이브\init-resume\pom.xml.
2022-01-13 10:16:40,183 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /init-resume/src/main/java
2022-01-13 10:16:40,184 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /init-resume/src/main/resources
2022-01-13 10:16:40,186 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /init-resume/src/test/java
2022-01-13 10:16:40,187 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /init-resume/src/test/resources
2022-01-13 10:16:43,517 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for init-resume
2022-01-13 10:16:43,532 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 8 sec
2022-01-13 10:16:49,577 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:16:49,584 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 20 resources
2022-01-13 10:16:49,781 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:16:49,784 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 10:16:49,785 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of init-resume
2022-01-13 10:16:49,785 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for init-resume
2022-01-13 10:16:49,812 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
